FL_DATE;CANCELLED;FLIGHTS;DISTANCE
2018-09-16;673;19311;809.2731086
2018-09-17;184;20789;785.6411564
2018-09-18;361;19617;776.980782
2018-09-19;107;20132;777.135605
2018-09-20;128;20860;786.1870566
2018-09-21;520;20515;787.571728
2018-09-22;229;16047;823.5500093
2018-09-23;47;19942;798.7711864
2018-09-24;65;20907;783.9365763
2018-09-25;170;19798;774.918123
2018-09-26;373;19873;780.0586726
2018-09-27;74;20907;785.4754388
2018-09-28;49;20985;784.7804146
2018-09-29;129;16130;825.0050217
2018-09-30;53;19914;798.507432
2018-10-01;106;20864;783.5520035
2018-10-02;123;19744;774.5118011
2018-10-03;84;20274;778.0563283
2018-10-04;36;21100;784.8619431
2018-10-05;101;21121;785.1409971
2018-10-06;91;16270;820.1669945
2018-10-07;80;19799;795.8810546
2018-10-08;218;20892;783.0771109
2018-10-09;541;19619;774.6335185
2018-10-10;290;20040;776.667515
2018-10-11;914;20276;798.1531367
2018-10-12;206;21023;785.809209
2018-10-13;261;16185;822.6013593
2018-10-14;110;19928;798.6324267
2018-10-15;199;20992;785.929354
2018-10-16;82;20226;773.1679027
2018-10-17;67;20400;774.9369118
2018-10-18;84;21120;784.322964
2018-10-19;73;21154;784.9820838
2018-10-20;44;16374;820.4233541
2018-10-21;50;19969;798.7447043
2018-10-22;107;21074;784.7092626
2018-10-23;89;20205;773.4312299
2018-10-24;57;20390;775.1672388
2018-10-25;70;21118;785.6137418
2018-10-26;78;21125;785.4488047
2018-10-27;60;16073;822.1058297
2018-10-28;68;19173;801.0793303
2018-10-29;46;19968;785.7308694
2018-10-30;51;18651;776.8189909
2018-10-31;99;16469;785.9233712
2018-11-01;66;19826;787.0384848
2018-11-02;66;20226;786.6504499
2018-11-03;41;15943;820.1706705
2018-11-04;63;19576;797.1399673
2018-11-05;104;20455;782.1121486
2018-11-06;118;19232;770.313072
2018-11-07;54;19750;770.8971646
2018-11-08;55;20839;784.7558424
2018-11-09;110;20821;785.4822055
2018-11-10;26;15916;816.1950867
2018-11-11;29;19847;800.1490402
2018-11-12;78;20896;785.7369353
2018-11-13;72;20040;774.0980539
2018-11-14;118;20160;776.4932044
2018-11-15;1547;19524;799.3179676
2018-11-16;512;20796;794.2807271
2018-11-17;78;16904;830.1398486
2018-11-18;55;19294;804.3519747
2018-11-19;28;19794;792.2665959
2018-11-20;80;20411;792.0665817
2018-11-21;75;21209;789.4231694
2018-11-22;19;12271;832.9716405
2018-11-23;26;15184;825.2833246
2018-11-24;45;20351;813.9837846
2018-11-25;987;21173;796.8176451
2018-11-26;1324;20208;804.9034541
2018-11-27;142;19610;778.2902091
2018-11-28;83;19151;777.2587854
2018-11-29;129;20215;783.1599802
2018-11-30;124;20302;783.7708108
2018-12-01;98;15449;815.2161305
2018-12-02;195;18846;798.9028972
2018-12-03;83;19913;785.7872746
2018-12-04;52;18864;773.1666137
2018-12-05;95;19362;774.0511311
2018-12-06;78;20266;782.7823448
2018-12-07;42;20372;782.8510701
2018-12-08;251;15209;819.7682293
2018-12-09;1492;17436;819.4608282
2018-12-10;553;19442;792.7199877
2018-12-11;82;18864;773.7780428
2018-12-12;54;19370;773.5048012
2018-12-13;71;20302;783.6751059
2018-12-14;179;20271;785.898229
2018-12-15;36;15513;817.4521369
2018-12-16;186;18796;800.481911
2018-12-17;43;20005;786.1860535
2018-12-18;101;19200;779.9348958
2018-12-19;75;20270;806.6508633
2018-12-20;130;20817;818.3627324
2018-12-21;183;20831;820.026595
2018-12-22;66;19297;850.4835985
2018-12-23;44;20324;837.7395198
2018-12-24;30;16154;860.3204779
2018-12-25;52;15696;861.7442661
2018-12-26;663;19925;842.3000753
2018-12-27;837;19880;839.835161
2018-12-28;456;20274;835.9565947
2018-12-29;165;19141;854.2086098
2018-12-30;134;20212;840.6301702
2018-12-31;226;16789;856.1176365
2019-01-01;141;17868;848.8637788
2019-01-02;173;20211;834.835733
2019-01-03;134;19388;828.8625438
2019-01-04;71;19495;826.5143883
2019-01-05;129;16678;851.4047847
2019-01-06;295;19153;824.3064794
2019-01-07;116;19899;788.4815317
2019-01-08;189;18626;780.9081392
2019-01-09;175;19061;780.8084046
2019-01-10;183;19797;788.1658837
2019-01-11;219;19863;786.8457937
2019-01-12;329;14986;834.4109836
2019-01-13;720;17841;814.9168208
2019-01-14;251;19690;788.2834942
2019-01-15;249;18404;779.1642578
2019-01-16;303;18796;781.068472
2019-01-17;199;19761;788.4030666
2019-01-18;415;19594;787.5275595
2019-01-19;1513;13422;836.1682313
2019-01-20;1175;15700;812.6238217
2019-01-21;599;18912;789.0039657
2019-01-22;1138;17519;786.6142474
2019-01-23;596;18503;784.2904394
2019-01-24;421;19542;791.0012281
2019-01-25;191;19850;786.3827708
2019-01-26;73;15194;831.3575095
2019-01-27;204;18371;805.6178216
2019-01-28;1447;18487;798.0406772
2019-01-29;1158;17504;783.8911106
2019-01-30;2145;16957;793.9673881
2019-01-31;1775;18187;801.2858635
2019-02-01;459;19586;791.1381089
2019-02-02;345;14620;836.6036252
2019-02-03;273;16577;821.6226096
2019-02-04;224;19753;785.5312104
2019-02-05;457;18206;779.817258
2019-02-06;397;18726;780.7244473
2019-02-07;591;19385;793.105855
2019-02-08;255;19796;785.7287836
